id,filtered_words_str_final,features_str,label_index
R170,new report technology breakthrough prevent focus trial. research miss save. experts discuss ongoing developments technology breakthrough.,"(10000,[585,980,1020,1071,2227,3032,3252,3481,3614,3931,4506,4687,6505,9432,9462],[0.6871770135734415,5.117993812416755,5.1060889099104365,4.137164559405029,2.7200985396183848,5.117993812416755,3.7316994512968646,2.7200985396183848,0.6832166123573445,3.8187108282864943,0.691153161953081,0.691153161953081,0.6871770135734415,2.849310271098391,0.691153161953081])",1.0
F110,celebrity scandal confirmed sources always character however ago rate hundred around. effect trouble camera maybe drive experience mrs cell. financial know seat return eat church of. fire family admit need sell. — shocking claims celebrity scandal surface internet.,"(10000,[47,253,503,635,911,1273,1310,1650,1896,2759,2909,3486,3635,4818,4867,4921,4988,5175,5191,5850,6257,6324,6325,6537,7276,7281,7407,7779,7936,8297,8338,8549,8714,9011,9023,9751],[4.019381523748645,3.8187108282864943,0.691153161953081,4.019381523748645,4.019381523748645,3.3262343431887,5.117993812416755,4.607168188650764,4.019381523748645,4.830311739964974,4.42484663185681,5.698620542196782,4.607168188650764,4.270695952029551,4.42484663185681,5.698620542196782,0.6792718340663283,4.830311739964974,4.270695952029551,0.691153161953081,5.117993812416755,3.8187108282864943,4.019381523748645,4.270695952029551,4.019381523748645,0.6714286566053024,4.42484663185681,3.8187108282864943,0.691153161953081,3.914021008090819,0.691153161953081,5.117993812416755,4.42484663185681,4.019381523748645,0.691153161953081,4.270695952029551])",0.0
F048,secret cure confirmed sources current several year director instead expert. every anything apply information body offer. role size see company. — shocking claims secret cure surface internet.,"(10000,[503,841,1510,1853,2114,3008,3192,3331,3350,3892,4527,4988,5354,5850,6747,7281,7312,7936,8190,8338,8899,9023,9189,9227,9681],[0.691153161953081,3.8187108282864943,5.523458920524919,4.270695952029551,4.270695952029551,5.117993812416755,4.607168188650764,5.117993812416755,4.019381523748645,5.1060889099104365,4.137164559405029,0.6792718340663283,4.42484663185681,0.691153161953081,5.1060889099104365,0.6714286566053024,3.8187108282864943,0.691153161953081,4.019381523748645,0.691153161953081,4.270695952029551,0.691153161953081,3.914021008090819,4.137164559405029,4.270695952029551])",0.0
F082,hoax confirmed sources area yeah already keep. ago describe impact able hot. — shocking claims hoax surface internet.,"(10000,[503,594,1896,1972,3249,3496,4377,4498,4988,5649,5850,7085,7281,7936,8338,9023,9767],[0.691153161953081,4.019381523748645,4.019381523748645,4.019381523748645,3.4440173788450834,3.7316994512968646,5.21137637688128,5.523458920524919,0.6792718340663283,4.42484663185681,0.691153161953081,4.137164559405029,0.6714286566053024,0.691153161953081,0.691153161953081,0.691153161953081,5.117993812416755])",0.0
F187,miracle drug confirmed sources identify explain return. — shocking claims miracle drug surface internet.,"(10000,[503,1256,3967,4988,5341,5850,7281,7860,7936,8338,8684,9023],[0.691153161953081,6.251127295453098,4.270695952029551,0.6792718340663283,4.270695952029551,0.691153161953081,0.6714286566053024,5.841538470161072,0.691153161953081,0.691153161953081,4.830311739964974,0.691153161953081])",0.0
F027,miracle drug confirmed sources else available sea strategy expect. hear purpose least mother. space behind carry size half remember attorney. effect pay reach. — shocking claims miracle drug surface internet.,"(10000,[454,503,1256,1634,1780,2291,2475,3192,4102,4346,4842,4897,4988,5034,5685,5850,6324,7177,7281,7860,7936,8089,8219,8338,9023,9188,9472,9617],[3.3262343431887,0.691153161953081,6.251127295453098,4.270695952029551,4.137164559405029,4.42484663185681,5.117993812416755,4.607168188650764,5.117993812416755,3.914021008090819,3.914021008090819,4.42484663185681,0.6792718340663283,4.270695952029551,4.270695952029551,0.691153161953081,3.8187108282864943,4.607168188650764,0.6714286566053024,5.841538470161072,0.691153161953081,4.270695952029551,5.523458920524919,0.691153161953081,0.691153161953081,4.830311739964974,5.117993812416755,4.137164559405029])",0.0
F202,hoax confirmed sources news sometimes much study. middle possible deal. example expect north reveal pay memory large. score road citizen school. — shocking claims hoax surface internet.,"(10000,[8,503,524,1211,1507,1778,1927,2433,3691,3713,4377,4897,4988,5725,5850,5869,6100,6941,7281,7936,8338,8625,9023,9470,9606,9878],[4.270695952029551,0.691153161953081,3.577548771469606,5.523458920524919,4.42484663185681,3.914021008090819,4.019381523748645,4.607168188650764,3.8187108282864943,5.117993812416755,5.21137637688128,4.42484663185681,0.6792718340663283,3.6516567436233283,0.691153161953081,5.117993812416755,4.137164559405029,4.607168188650764,0.6714286566053024,0.691153161953081,0.691153161953081,5.117993812416755,0.691153161953081,5.523458920524919,4.830311739964974,3.914021008090819])",0.0
F197,secret cure confirmed sources fund star push news minute. congress director recently cold animal seem. — shocking claims secret cure surface internet.,"(10000,[503,1853,2034,2433,3892,3920,4502,4638,4988,5170,5850,5978,6747,7175,7281,7360,7936,8338,8728,9023],[0.691153161953081,4.270695952029551,4.019381523748645,4.607168188650764,5.1060889099104365,4.830311739964974,4.830311739964974,4.270695952029551,0.6792718340663283,4.019381523748645,0.691153161953081,4.270695952029551,5.1060889099104365,4.830311739964974,0.6714286566053024,4.42484663185681,0.691153161953081,0.691153161953081,3.383392757028649,0.691153161953081])",0.0
R128,new report climate change material us skill sea bill. better civil various difference. simple buy. experts discuss ongoing developments climate change.,"(10000,[387,526,585,593,821,2059,2543,2913,3204,3231,3614,4506,4687,6505,6647,6660,8915,9462,9617,9968],[2.5530444549552183,5.523458920524919,0.6871770135734415,4.607168188650764,5.698620542196782,2.60568818844064,3.914021008090819,3.577548771469606,5.523458920524919,3.914021008090819,0.6832166123573445,0.691153161953081,0.691153161953081,0.6871770135734415,3.8187108282864943,4.42484663185681,5.117993812416755,0.691153161953081,4.137164559405029,3.6516567436233283])",1.0
F157,government cover-up confirmed sources measure another grow mother list return. population kid visit build goal. couple order general. — shocking claims government cover-up surface internet.,"(10000,[354,503,528,698,935,1226,2259,2404,3014,3723,4988,5850,7281,7702,7936,8166,8338,8684,8728,9023,9258,9543,9813],[4.019381523748645,0.691153161953081,4.137164559405029,3.914021008090819,5.117993812416755,4.270695952029551,5.501740396570277,4.270695952029551,4.607168188650764,4.270695952029551,0.6792718340663283,0.691153161953081,0.6714286566053024,3.7316994512968646,0.691153161953081,4.270695952029551,0.691153161953081,4.830311739964974,3.383392757028649,0.691153161953081,3.914021008090819,5.523458920524919,5.995460552433328])",0.0
F117,hoax confirmed sources listen partner attack prevent ask. professor suggest one entire. still citizen main information artist. — shocking claims hoax surface internet.,"(10000,[8,116,429,503,656,815,1637,2543,2609,3252,3712,4377,4988,5693,5850,7117,7281,7816,7936,8190,8338,9023],[4.270695952029551,3.914021008090819,4.270695952029551,0.691153161953081,4.830311739964974,4.42484663185681,3.6516567436233283,3.914021008090819,5.523458920524919,3.7316994512968646,4.270695952029551,5.21137637688128,0.6792718340663283,4.270695952029551,0.691153161953081,5.117993812416755,0.6714286566053024,3.6516567436233283,0.691153161953081,4.019381523748645,0.691153161953081,0.691153161953081])",0.0
F173,secret cure confirmed sources without style become. including young yet. term science history receive stock reach remember. budget apply quickly hundred doctor traditional hotel. — shocking claims secret cure surface internet.,"(10000,[503,777,793,2188,3363,3391,3882,3892,4043,4486,4617,4988,4991,5169,5175,5849,5850,6543,6747,7281,7312,7334,7809,7936,8000,8338,8386,9023,9714],[0.691153161953081,4.42484663185681,4.270695952029551,5.117993812416755,4.42484663185681,4.42484663185681,4.42484663185681,5.1060889099104365,4.019381523748645,4.607168188650764,4.830311739964974,0.6792718340663283,2.579019941358479,5.117993812416755,4.830311739964974,5.523458920524919,0.691153161953081,3.8187108282864943,5.1060889099104365,0.6714286566053024,3.8187108282864943,4.019381523748645,3.8187108282864943,0.691153161953081,3.914021008090819,0.691153161953081,4.270695952029551,0.691153161953081,5.117993812416755])",0.0
F024,aliens confirmed sources agency care nor. letter follow measure discussion economic try. — shocking claims aliens surface internet.,"(10000,[503,528,564,650,765,3960,4988,5310,5315,5850,7281,7936,8338,8439,9023,9144,9367],[0.691153161953081,4.137164559405029,4.42484663185681,5.917019126126766,4.42484663185681,5.117993812416755,0.6792718340663283,4.270695952029551,4.137164559405029,0.691153161953081,0.6714286566053024,0.691153161953081,0.691153161953081,5.523458920524919,0.691153161953081,2.6902455764687034,4.270695952029551])",0.0
F096,celebrity scandal confirmed sources color sport hospital citizen wrong foot allow. century according return minute. — shocking claims celebrity scandal surface internet.,"(10000,[8,503,635,3486,4921,4930,4988,5850,6512,7175,7281,7564,7601,7841,7890,7936,8278,8338,9023,9832],[4.270695952029551,0.691153161953081,4.019381523748645,5.698620542196782,5.698620542196782,3.6516567436233283,0.6792718340663283,0.691153161953081,4.270695952029551,4.830311739964974,0.6714286566053024,4.42484663185681,5.523458920524919,4.137164559405029,4.607168188650764,0.691153161953081,4.019381523748645,0.691153161953081,0.691153161953081,4.42484663185681])",0.0
R247,new report public health behavior adult writer fund. economy skill however walk fish example like. natural official amount artist material. experts discuss ongoing developments public health.,"(10000,[72,217,585,735,911,1376,1770,3614,4506,4687,4988,5616,6142,6219,6505,6623,6906,7222,8485,8805,8931,9190,9462,9606,9968],[4.42484663185681,3.5085558999826545,0.6871770135734415,4.607168188650764,4.019381523748645,4.137164559405029,5.7688031818193215,0.6832166123573445,0.691153161953081,0.691153161953081,0.6792718340663283,5.523458920524919,3.914021008090819,3.172083663361442,0.6871770135734415,5.117993812416755,4.42484663185681,4.137164559405029,3.914021008090819,3.0385522707369192,3.8187108282864943,5.117993812416755,0.691153161953081,4.830311739964974,3.6516567436233283])",1.0
F226,government cover-up confirmed sources first sound similar skin support pretty tax. car everyone. land top. — shocking claims government cover-up surface internet.,"(10000,[503,2259,3674,3919,4529,4988,5563,5833,5850,6083,6166,6403,7046,7148,7281,7936,8217,8338,9023,9813],[0.691153161953081,5.501740396570277,4.607168188650764,4.137164559405029,4.830311739964974,0.6792718340663283,5.117993812416755,4.270695952029551,0.691153161953081,5.117993812416755,4.137164559405029,4.42484663185681,4.270695952029551,4.42484663185681,0.6714286566053024,0.691153161953081,4.42484663185681,0.691153161953081,0.691153161953081,5.995460552433328])",0.0
F100,flat earth confirmed sources listen rock step check. — shocking claims flat earth surface internet.,"(10000,[429,503,574,1558,2918,4988,5850,7281,7936,8338,9023,9394,9676],[4.270695952029551,0.691153161953081,3.6516567436233283,4.42484663185681,6.0771045414738385,0.6792718340663283,0.691153161953081,0.6714286566053024,0.691153161953081,0.691153161953081,0.691153161953081,5.523458920524919,6.0771045414738385])",0.0
F246,government cover-up confirmed sources since imagine rather itself. life sound late. — shocking claims government cover-up surface internet.,"(10000,[503,2259,2837,2862,3477,4988,5301,5850,6151,6166,6287,7281,7936,8338,9023,9813],[0.691153161953081,5.501740396570277,4.137164559405029,5.523458920524919,4.42484663185681,0.6792718340663283,4.019381523748645,0.691153161953081,4.830311739964974,4.137164559405029,3.914021008090819,0.6714286566053024,0.691153161953081,0.691153161953081,0.691153161953081,5.995460552433328])",0.0
F183,aliens confirmed sources whether quite everybody its. task event south third. — shocking claims aliens surface internet.,"(10000,[503,650,2561,3406,4816,4988,5850,6056,7015,7281,7728,7936,8151,8338,8451,9023],[0.691153161953081,5.917019126126766,4.270695952029551,4.830311739964974,3.7316994512968646,0.6792718340663283,0.691153161953081,3.8187108282864943,5.117993812416755,0.6714286566053024,4.830311739964974,0.691153161953081,4.137164559405029,0.691153161953081,4.137164559405029,0.691153161953081])",0.0
R063,new report policy worker whole perform partner. significant call tax evidence. thus claim imagine gas hospital. experts discuss ongoing developments policy.,"(10000,[585,627,934,1098,2676,3614,4142,4506,4590,4687,5146,5301,5607,5684,6505,6587,6944,8552,8937,9462,9588],[0.6871770135734415,4.607168188650764,5.117993812416755,3.8187108282864943,4.019381523748645,0.6832166123573445,2.6902455764687034,0.691153161953081,4.607168188650764,0.691153161953081,4.270695952029551,4.019381523748645,4.137164559405029,4.607168188650764,0.6871770135734415,4.019381523748645,2.849310271098391,4.270695952029551,4.607168188650764,0.691153161953081,4.830311739964974])",1.0
R005,new report election church general oil view. art suggest simply knowledge among. exist meet bad. experts discuss ongoing developments election.,"(10000,[132,585,1273,1642,2071,3556,3614,3935,4506,4687,5465,5972,6035,6505,6602,7816,7854,7864,9462,9940],[2.6330871626287546,0.6871770135734415,3.3262343431887,4.270695952029551,4.830311739964974,2.7826188965997183,0.6832166123573445,4.270695952029551,0.691153161953081,0.691153161953081,4.42484663185681,5.523458920524919,3.5085558999826545,0.6871770135734415,4.270695952029551,3.6516567436233283,4.137164559405029,4.42484663185681,0.691153161953081,4.019381523748645])",1.0
R084,new report election half agent let school strategy ok opportunity. feeling hand option woman bar. experts discuss ongoing developments election.,"(10000,[132,585,613,1780,1811,2291,2645,2679,3423,3556,3614,4506,4533,4563,4687,5016,6505,8267,9462,9613],[2.6330871626287546,0.6871770135734415,3.8187108282864943,4.137164559405029,4.830311739964974,4.42484663185681,3.8187108282864943,4.019381523748645,4.42484663185681,2.7826188965997183,0.6832166123573445,0.691153161953081,5.117993812416755,4.270695952029551,0.691153161953081,4.607168188650764,0.6871770135734415,4.270695952029551,0.691153161953081,4.019381523748645])",1.0
R124,new report education dream article government table economy. develop garden second training sit person. experts discuss ongoing developments education.,"(10000,[585,1241,1702,1750,2259,2366,3614,3931,4506,4683,4687,5047,5530,5936,6505,6946,7538,9256,9462],[0.6871770135734415,3.914021008090819,4.607168188650764,5.523458920524919,2.7508701982851385,4.607168188650764,0.6832166123573445,3.8187108282864943,0.691153161953081,4.830311739964974,0.691153161953081,2.7200985396183848,2.4789364828014966,4.137164559405029,0.6871770135734415,4.270695952029551,4.42484663185681,4.42484663185681,0.691153161953081])",1.0
R118,new report research school young operation eye reduce hour. sort bit service. successful onto show spend current radio sport. experts discuss ongoing developments research.,"(10000,[353,585,1341,1989,2111,2679,3614,4019,4221,4319,4506,4687,5659,5720,5922,6505,7066,7809,7825,8159,9086,9189,9432,9462],[4.019381523748645,0.6871770135734415,3.8187108282864943,4.137164559405029,5.523458920524919,4.019381523748645,0.6832166123573445,3.8187108282864943,5.523458920524919,3.7316994512968646,0.691153161953081,0.691153161953081,4.42484663185681,4.830311739964974,4.270695952029551,0.6871770135734415,2.920769235080536,3.8187108282864943,5.117993812416755,3.914021008090819,4.137164559405029,3.914021008090819,2.849310271098391,0.691153161953081])",1.0
F001,aliens confirmed sources born trade relate above. last rate product heart practice. computer bed fill strategy buy national wait. — shocking claims aliens surface internet.,"(10000,[80,253,419,447,503,650,988,2291,2406,3567,3989,4988,5850,6063,7281,7910,7936,8151,8338,9023,9497,9545,9727,9808],[5.117993812416755,3.8187108282864943,4.607168188650764,4.607168188650764,0.691153161953081,5.917019126126766,5.117993812416755,4.42484663185681,5.117993812416755,5.523458920524919,3.914021008090819,0.6792718340663283,0.691153161953081,5.117993812416755,0.6714286566053024,4.607168188650764,0.691153161953081,4.137164559405029,0.691153161953081,0.691153161953081,3.8187108282864943,4.830311739964974,3.914021008090819,3.914021008090819])",0.0
F007,immortal jellyfish confirmed sources environment section six somebody. evidence town fund edge attack. treat memory whose artist could. — shocking claims immortal jellyfish surface internet.,"(10000,[503,2054,2066,2407,3643,3921,4638,4715,4988,5401,5850,6941,6968,7281,7876,7936,8338,8741,8750,8931,9023,9539,9876],[0.691153161953081,3.8187108282864943,5.501740396570277,4.270695952029551,5.117993812416755,4.42484663185681,4.270695952029551,4.137164559405029,0.6792718340663283,4.607168188650764,0.691153161953081,4.607168188650764,3.6516567436233283,0.6714286566053024,4.830311739964974,0.691153161953081,0.691153161953081,5.523458920524919,4.607168188650764,3.8187108282864943,0.691153161953081,3.7316994512968646,5.501740396570277])",0.0
F046,mind control confirmed sources lay life see experience international anything. form major table grow since allow example. — shocking claims mind control surface internet.,"(10000,[188,503,1058,1208,1834,2404,3184,3477,3635,3931,4475,4835,4988,5354,5621,5850,6287,7281,7751,7936,8338,9023],[4.607168188650764,0.691153161953081,4.137164559405029,5.7688031818193215,5.117993812416755,4.270695952029551,5.698620542196782,4.42484663185681,4.607168188650764,3.8187108282864943,4.019381523748645,4.019381523748645,0.6792718340663283,4.42484663185681,4.830311739964974,0.691153161953081,3.914021008090819,0.6714286566053024,5.117993812416755,0.691153161953081,0.691153161953081,0.691153161953081])",0.0
R103,new report research per movie front. leader resource determine scientist agency use. experts discuss ongoing developments research.,"(10000,[298,585,765,1439,1526,1670,3614,4253,4506,4687,6226,6505,7066,7734,9021,9432,9462],[4.137164559405029,0.6871770135734415,4.42484663185681,4.137164559405029,4.019381523748645,4.270695952029551,0.6832166123573445,5.523458920524919,0.691153161953081,0.691153161953081,4.42484663185681,0.6871770135734415,2.920769235080536,4.270695952029551,4.019381523748645,2.849310271098391,0.691153161953081])",1.0
R037,new report budget report man fight mr wife half others. bill place but. yes heart upon challenge he. experts discuss ongoing developments budget report.,"(10000,[585,1780,2526,2569,2647,3021,3614,4506,4673,4687,4991,5044,5432,5935,6390,6505,6735,8135,8257,8927,9462,9808],[0.6871770135734415,4.137164559405029,4.270695952029551,3.8187108282864943,4.270695952029551,4.42484663185681,0.6832166123573445,0.691153161953081,5.523458920524919,0.691153161953081,5.158039882716958,3.8187108282864943,2.7508701982851385,3.6516567436233283,4.42484663185681,1.374354027146883,4.137164559405029,4.270695952029551,5.523458920524919,4.830311739964974,0.691153161953081,3.914021008090819])",1.0
F193,secret cure confirmed sources sing program early. side seven performance charge near herself. time two share notice as. — shocking claims secret cure surface internet.,"(10000,[503,573,1525,2238,3753,3892,3947,4728,4988,5850,5974,6035,6451,6747,6812,7281,7850,7936,8157,8338,9023,9351,9781],[0.691153161953081,4.42484663185681,3.383392757028649,5.523458920524919,5.117993812416755,5.1060889099104365,4.42484663185681,4.137164559405029,0.6792718340663283,0.691153161953081,3.5085558999826545,3.5085558999826545,3.4440173788450834,5.1060889099104365,4.019381523748645,0.6714286566053024,4.137164559405029,0.691153161953081,4.42484663185681,0.691153161953081,0.691153161953081,4.607168188650764,4.270695952029551])",0.0
R166,new report election ok fear sense partner amount. change sing sure simple commercial spring. experts discuss ongoing developments election.,"(10000,[116,132,387,585,1821,2095,2645,2913,3556,3614,4506,4687,5447,6443,6451,6505,9183,9462,9513],[3.914021008090819,2.6330871626287546,2.5530444549552183,0.6871770135734415,4.019381523748645,5.117993812416755,3.8187108282864943,3.577548771469606,2.7826188965997183,0.6832166123573445,0.691153161953081,0.691153161953081,4.019381523748645,3.914021008090819,3.4440173788450834,0.6871770135734415,4.607168188650764,0.691153161953081,3.577548771469606])",1.0
F017,immortal jellyfish confirmed sources gas usually environment try look happen. person agency loss order. ability young truth represent protect west. rise arm series good home ten. — shocking claims immortal jellyfish surface internet.,"(10000,[503,765,2066,2069,2407,2990,3249,3365,3681,3984,4463,4693,4816,4988,5329,5564,5607,5850,5987,6168,6235,7235,7281,7809,7936,8338,8717,9023,9415,9876,9939],[0.691153161953081,4.42484663185681,5.501740396570277,4.830311739964974,4.270695952029551,4.137164559405029,3.4440173788450834,4.137164559405029,4.019381523748645,4.42484663185681,4.270695952029551,4.42484663185681,3.7316994512968646,0.6792718340663283,4.137164559405029,5.523458920524919,4.137164559405029,0.691153161953081,5.117993812416755,4.830311739964974,5.523458920524919,4.42484663185681,0.6714286566053024,3.8187108282864943,0.691153161953081,0.691153161953081,4.270695952029551,0.691153161953081,5.523458920524919,5.501740396570277,4.42484663185681])",0.0
R008,new report economic growth issue stay anything along too. heart five able ten shake job hold. choice structure think federal. experts discuss ongoing developments economic growth.,"(10000,[23,320,433,557,585,2114,2180,2335,2782,2840,2996,3496,3614,4506,4687,5085,5974,6053,6505,6616,9034,9144,9462,9808,9873],[4.830311739964974,2.7826188965997183,4.270695952029551,4.019381523748645,0.6871770135734415,4.270695952029551,3.914021008090819,4.42484663185681,4.830311739964974,4.019381523748645,4.137164559405029,3.7316994512968646,0.6832166123573445,0.691153161953081,0.691153161953081,3.6516567436233283,3.5085558999826545,3.8187108282864943,0.6871770135734415,4.607168188650764,2.8844015909096608,5.380491152937407,0.691153161953081,3.914021008090819,5.117993812416755])",1.0
F071,celebrity scandal confirmed sources road effort value artist event. away office physical. race hair eat. — shocking claims celebrity scandal surface internet.,"(10000,[454,503,1116,2406,3486,3737,4921,4988,5279,5725,5726,5850,7281,7403,7664,7936,8338,8344,8931,9023],[3.3262343431887,0.691153161953081,4.830311739964974,5.117993812416755,5.698620542196782,4.270695952029551,5.698620542196782,0.6792718340663283,4.830311739964974,3.6516567436233283,4.137164559405029,0.691153161953081,0.6714286566053024,4.019381523748645,4.137164559405029,0.691153161953081,0.691153161953081,3.5085558999826545,3.8187108282864943,0.691153161953081])",0.0
F028,mind control confirmed sources hour level month. hospital fear well always. — shocking claims mind control surface internet.,"(10000,[157,503,527,1208,1481,1499,3184,4930,4988,5850,6816,7281,7936,8338,9023,9513],[3.2721671219184243,0.691153161953081,4.830311739964974,5.7688031818193215,5.117993812416755,3.8187108282864943,5.698620542196782,3.6516567436233283,0.6792718340663283,0.691153161953081,5.523458920524919,0.6714286566053024,0.691153161953081,0.691153161953081,0.691153161953081,3.577548771469606])",0.0
F227,immortal jellyfish confirmed sources keep evidence front send receive authority. heavy benefit perform radio minute major. — shocking claims immortal jellyfish surface internet.,"(10000,[503,504,1098,2006,2054,2066,3357,4617,4988,5523,5653,5850,7281,7936,8338,8949,9023,9086,9594,9829,9876],[0.691153161953081,4.42484663185681,3.8187108282864943,4.42484663185681,3.8187108282864943,5.501740396570277,4.019381523748645,4.830311739964974,0.6792718340663283,4.42484663185681,4.019381523748645,0.691153161953081,0.6714286566053024,0.691153161953081,0.691153161953081,3.5085558999826545,0.691153161953081,4.137164559405029,4.607168188650764,5.523458920524919,5.501740396570277])",0.0
